date,total,daily,rolling_day_avg,first_dose,second_dose,fully_vaccinated,pfizer_biontech,moderna,astrazeneca,janssen
2021-Jun-04,2789595,42912,40981,1843582,896156,915420,1861145,179042,711031,5709
2021-Jun-05,2833177,43582,41621,1864398,917095,937599,1890518,184166,718501,6294
2021-Jun-06,2877440,44263,42271,1885449,938524,960314,1920354,189437,726048,6939
2021-Jun-07,2922394,44954,42932,1906737,960453,983580,1950662,194859,733676,7650
2021-Jun-08,2968051,45657,43603,1928266,982894,1007409,1981447,200436,741383,8433
2021-Jun-09,3014421,46370,44284,1950038,1005860,1031816,2012719,206173,749172,9297
2021-Jun-10,3061516,47095,44976,1972056,1029363,1056814,2044484,212073,757042,10249
2021-Jun-11,3109346,47830,45678,1994323,1053414,1082418,2076751,218143,764995,11299
2021-Jun-12,3157924,48578,46392,2016841,1078028,1108642,2109526,224386,773031,12456
2021-Jun-13,3207261,49337,47117,2039613,1103217,1135501,2142819,230809,781152,13732
2021-Jun-14,3257368,50107,47853,2062642,1128994,1163011,2176638,237414,789358,15138
2021-Jun-15,3308258,50890,48601,2085931,1155373,1191188,2210990,244209,797650,16688
2021-Jun-16,3359943,51685,49360,2109484,1182369,1220047,2245884,251199,806030,18398
2021-Jun-17,3412436,52493,50131,2133302,1209996,1249605,2281329,258388,814497,20282
2021-Jun-18,3465749,53313,50914,2157389,1238268,1279880,2317334,265784,823054,22359
2021-Jun-19,3519894,54145,51710,2181748,1267201,1310888,2353906,273390,831700,24649
2021-Jun-20,3574886,54992,52517,2206382,1296810,1342647,2391056,281215,840437,27173
2021-Jun-21,3630737,55851,53338,2231294,1327111,1375176,2428792,289264,849266,29956
2021-Jun-22,3687460,56723,54171,2256488,1358119,1408493,2467124,297542,858188,33024
2021-Jun-23,3745070,57610,55018,2281966,1389852,1442616,2506061,306058,867203,36407
2021-Jun-24,3803579,58509,55877,2307732,1422327,1477567,2545612,314818,876313,40135
2021-Jun-25,3863003,59424,56750,2333788,1455560,1513364,2585787,323828,885519,44246
2021-Jun-26,3923355,60352,57637,2360139,1489570,1550029,2626597,333096,894822,48777
2021-Jun-27,3984650,61295,58537,2386788,1524375,1587582,2668050,342630,904222,53772
2021-Jun-28,4046902,62252,59452,2413737,1559993,1626045,2710158,352436,913721,59280
2021-Jun-29,4110128,63226,60381,2440990,1596443,1665439,2752930,362523,923320,65351
2021-Jun-30,4174341,64867,61417,2468552,1633745,1705789,2796378,372899,933020,72044
2021-Jul-01,4236206,61865,61897,2482377,1681784,1753829,2825003,381960,957198,72045
2021-Jul-02,4285416,49210,60438,2492983,1720387,1792433,2846105,387110,980155,72047
2021-Jul-03,4334626,98420,65876,2503589,1758989,1831037,2867207,392259,1003112,72048
2021-Jul-04,4369136,34510,62050,2582236,1786900,1858947,2880807,397680,1018602,72047
2021-Jul-05,4423158,54022,60874,2599957,1823201,1895249,2917131,403370,1030609,72048
2021-Jul-06,4486999,63841,60962,2613558,1873441,1945507,2954166,409199,1051568,72066
2021-Jul-07,4555032,68033,61414,2634270,1920762,1992827,3002799,412858,1067310,72065
2021-Jul-08,4619820,64788,61832,2652657,1967163,2039229,3045533,414286,1087935,72066
2021-Jul-09,4676455,56635,62893,2665216,2011239,2083324,3078012,419691,1106667,72085
2021-Jul-10,4707181,30726,53222,2673840,2033341,2105432,3097596,421446,1116048,72091
2021-Jul-11,4738890,31709,52822,2688973,2049917,2122009,3111099,431382,1124317,72092
2021-Jul-12,4791418,52528,52609,2707472,2083946,2156038,3143927,440825,1134574,72092
2021-Jul-13,4852021,60603,52146,2728205,2123816,2195924,3188835,448544,1142534,72108
2021-Jul-14,4912457,60436,51061,2750468,2161989,2234139,3227286,453414,1159607,72150
2021-Jul-15,4995719,83262,53700,2803491,2192228,2289297,3278183,457071,1163396,97069
2021-Jul-16,5106392,110673,61420,2885807,2220585,2370099,3325025,461540,1170313,149514
2021-Jul-17,5142677,36285,62214,2901641,2241036,2394743,3348067,464435,1176468,153707
2021-Jul-18,5178067,35390,62740,2920641,2257426,2412708,3376273,469012,1177500,155282
2021-Jul-19,5230100,52033,62669,2952240,2277860,2438469,3413417,477464,1178610,160609
2021-Jul-20,5285596,55496,61939,2989341,2296255,2463208,3458488,480582,1179573,166953
2021-Jul-21,5344686,59090,61747,3026154,2318532,2490646,3508142,483565,1180865,172114
2021-Jul-22,5437340,92654,63089,3084093,2353247,2531260,3589673,487860,1181794,178013
2021-Jul-23,5496420,59080,55718,3119312,2377108,2560284,3639373,491775,1182096,183176
2021-Jul-24,5522270,25850,54228,3132369,2389901,2575696,3660533,493801,1182141,185795
2021-Jul-25,5551754,29484,53384,3148266,2403488,2590420,3686539,496013,1182270,186932
2021-Jul-26,5598551,46797,52636,3175190,2423361,2613659,3728102,497373,1182778,190298
2021-Jul-27,5668124,69573,54647,3218343,2449781,2652549,3781390,500771,1183195,202768
2021-Jul-28,5726222,58098,54505,3248996,2477226,2686260,3829148,504490,1183550,209034
2021-Jul-29,5779100,52878,48823,3272791,2506309,2718551,3874058,507754,1185046,212242
2021-Jul-30,5823011,43911,46656,3292726,2530285,2745555,3912077,510407,1185257,215270
2021-Jul-31,5849924,26913,46808,3307341,2542583,2758980,3937338,510889,1185300,216397
2021-Aug-01,5871111,21187,45622,3319049,2552062,2768882,3957875,511110,1185306,216820
2021-Aug-02,5903118,32007,43510,3334752,2568366,2785404,3988884,511830,1185366,217038
